0000	Ausgabe Ende
4458	Abgas-Bank4, Gemischadaption Bereich 2 Fettgrenze ueberschritten
4459	Bank2, Gemischadaption Bereich 1 Magergrenze unterschritten
445A	Bank2, Gemischadaption Bereich 2 Magergrenze unterschritten
445B	Bank2, Gemischadaption Bereich 1 Fettgrenze ueberschritten
445C	Bank2, Gemischadaption Bereich 2 Fettgrenze ueberschritten
445D	Bank1,Kraftstoffbemessungssystem 2 Fehlfunktion
445E	Bank2,Kraftstoffbemessungssystem 2 Fehlfunktion
445F	
4460	
4461	
4462	
4463	
4464	Bank1-Sonde2,Heizstromkreis Leistung zu gering
4465	Bank1-Sonde1 Spannung zu klein/Leckluft
4466	Bank1-Sonde1,Heizstromkreis Kurzschluss nach Plus
4467	Bank1-Sonde1,Heizstromkreis Leistung zu gering
4468	Bank1-Sonde2 Spannung zu klein/Leckluft
4469	Bank1-Sonde2,Heizstromkreis Kurzschluss nach Plus
446A	Bank2-Sonde1 Spannung zu klein/Leckluft
446B	Bank2-Sonde1,Heizstromkreis Kurzschluss nach Plus
446C	Bank2-Sonde1,Heizstromkreis Leistung zu gering
446D	Bank2-Sonde2 Spannung zu klein/Leckluft
446E	Bank2-Sonde2,Heizstromkreis Kurzschluss nach Plus
446F	Lambda-Regelung (Bank 1) System zu mager
4470	Lambda-Regelung (Bank 1) System zu fett
4471	Bank 1, Sonde 1 Innenwiderstand zu gross
4472	Bank 1, Sonde 2 Innenwiderstand zu gross
4473	Bank1-Sonde1,Heizstromkreis Kurzschluss nach Masse
4474	Bank1-Sonde1,Heizstromkreis Unterbrechung
4475	Bank1-Sonde2,Heizstromkreis Kurzschluss nach Masse
4476	Bank1-Sonde2,Heizstromkreis Unterbrechung
4477	Bank2-Sonde1,Heizstromkreis Kurzschluss nach Masse
4478	Bank2-Sonde1,Heizstromkreis Unterbrechung
4479	Bank2-Sonde2,Heizstromkreis Kurzschluss nach Masse
447A	Bank2-Sonde2,Heizstromkreis Unterbrechung
447B	Bank1,Gemischadaption Luft (add) System zu fett
447C	Bank1,Gemischadaption Luft (add) System zu mager
447D	Bank2,Gemischadaption Luft (add) System zu fett
447E	Bank2,Gemischadaption Luft (add) System zu mager
447F	Bank1,Gemischadaption (mult) System zu fett
4480	Bank1,Gemischadaption (mult) System zu mager
4481	Bank2,Gemischadaption (mult) System zu fett
4482	Bank2,Gemischadaption (mult) System zu mager
4483	Bank 2, Sonde 1 Innenwiderstand zu gross
4484	Bank1+2-Sonde1,Heizstromkreis Kurzschluss nach Plus
4485	Bank1+2-Sonde1,Heizstromkreis elektr.Fehler
4486	Bank1+2-Sonde2,Heizstromkreis Kurzschluss nach Plus
4487	Bank1+2-Sonde2,Heizstromkreis elektr.Fehler
4488	Bank1,Gemischadaption (add) System zu mager
4489	Bank1,Gemischadaption (add) System zu fett
448A	Bank2,Gemischadaption (add) System zu mager
448B	Bank2,Gemischadaption (add) System zu fett
448C	Bank 2, Sonde 2 Innenwiderstand zu gross
448D	Lasterfassung unplausibler Wert
448E	Lasterfassung Grenze unterschritten
448F	Lasterfassung Grenze ueberschritten
4490	Luftmassenmesser-G70 Unterbrechung/Kurzschluss nach Masse
4491	Luftmassenmesser-G70 Kurzschluss nach Plus
4492	Luftmassenmesser-G70 Versorgungsspannung
4493	Lambda-Regelung Bank 2 System zu mager
4494	Lambda-Regelung Bank 2 System zu fett
4495	Lambda-Regelung Bank 1 unplausibler Regelwert
4496	Lambda-Regelung Bank 2 unplausibler Regelwert
4497	Bank1, Gemischadaption Bereich 1 Magergrenze unterschritten
4498	Bank1, Gemischadaption Bereich 2 Magergrenze unterschritten
4499	Lambda-Sonden nach Kat vertauscht
449A	Saugrohrumschaltung Fehlfunktion
449B	Geber fuer Saugrohrdruck-G71 Kurzschluss nach Plus
449C	Geber fuer Saugrohrdruck-G71 Unterbrechung/Kurzschluss nach Masse
449D	Geber fuer Saugrohrdruck-G71 Versorgungsspannung
449E	Geber fuer Saugrohrdruck-G71 unplausibles Signal
449F	Signal Luftmassenmesser1/Luftmassenmesser2 unplausibles Verhaeltnis
44A0	Geber fuer Saugrohrtemp.-G72 Kurzschluss nach Masse
44A1	Geber fuer Saugrohrtemp.-G72 Unterbrechung/Kurzschluss nach Plus
44A2	Geber fuer Kraftstofftemp.-G81 Kurzschluss nach Masse
44A3	Geber fuer Kraftstofftemp.-G81 Unterbrechung/Kurzschluss nach Plus
44A4	Geber fuer Kraftstofftemp.# -G81 unplausibles Signal
44A5	Bank1, Gemischadaption Bereich 1 Fettgrenze ueberschritten
44A6	Bank1, Gemischadaption Bereich 2 Fettgrenze ueberschritten
44A7	Luftmassenmesser 2-G246 unplausibles Signal
44A8	Luftmassenmesser 2-G246 Unterbrechung/Kurzschluss nach Masse
44A9	Luftmassenmesser 2-G246 Kurzschluss nach Plus
44AA	Luftmassenmesser 2-G246 Versorgungsspannung
44AB	Winkelgeber 2 fuer DK-Antrieb-G188 unplausibles Signal
44AC	Winkelgeber 2 fuer DK-Antrieb-G188 Signal zu klein
44AD	Winkelgeber 2 fuer DK-Antrieb-G188 Signal zu gross
44AE	Bank 1, Kraftstoffbemessungssystem Abweichung der Einspritzzeiten 
44AF	Voreinspritzung abgeschaltet 
44B0	Bank1,Lambdakorrektur hinter Kat Regelgrenze erreicht
44B1	Bank2,Lambdakorrektur hinter Kat Regelgrenze erreicht
44B2	lineare Lambda-Sonde / Pumpstrom Unterbrechung
44B3	lineare Lambda-Sonde / Pumpstrom Kurzschluss nach Masse
44B4	lineare Lambda-Sonde / Pumpstrom Kurzschluss nach Plus
44B5	lineare Lambda-Sonde / Referenzspannung Unterbrechung
44B6	lineare Lambda-Sonde / Referenzspannung Kurzschluss nach Masse
44B7	lineare Lambda-Sonde / Referenzspannung Kurzschluss nach Plus
44B8	lineare Lambda-Sonde/gemeinsame Massel. Unterbrechung
44B9	lineare Lambda-Sonde/gemeinsame Massel. Kurzschluss nach Masse
44BA	lineare Lambda-Sonde/gemeinsame Massel. Kurzschluss nach Plus
44BB	lineare Lambda-Sonde/Kompensationswiderst. Unterbrechung
44BC	lineare Lambda-Sonde/Kompensationswiderst. Kurzschluss nach Masse
44BD	lineare Lambda-Sonde/Kompensationswiderst. Kurzschluss nach Plus
44BE	lineare Lambda-Sonde/Referenzspannung unplausibel
44BF	lineare Lambda-Sonden vor Kat vertauscht
44C0	Geber fuer Kraftstoffdruck-G247 Versorgungsspannung
44C1	Geber fuer Kraftstoffdruck-G247 Unterbrechung/Kurzschluss nach Plus
44C2	Regelventil fuer Kraftstoffdruck-N276 Kurzschluss nach Plus
44C3	Regelventil fuer Kraftstoffdruck-N276 Unterbrechung/Kurzschluss nach Masse
44C4	Bank1-Sonde1,Heizstromkreis elektr.Fehler
44C5	Bank2-Sonde1,Heizstromkreis elektr.Fehler
44C6	Bank1-Sonde2,Heizstromkreis elektr.Fehler
44C7	Bank2-Sonde2,Heizstromkreis elektr.Fehler
44C8	Umluftventil fuer Turbolader -N249 mechanischer Fehler
44C9	Einspritzventil Zyl.1-N30 elektr.Fehler im Stromkreis
44CA	Einspritzventil Zyl.2-N31 elektr.Fehler im Stromkreis
44CB	Einspritzventil Zyl.3-N32 elektr.Fehler im Stromkreis
44CC	Einspritzventil Zyl.4-N33 elektr.Fehler im Stromkreis
44CD	Einspritzventil Zyl.5-N83 elektr.Fehler im Stromkreis
44CE	Einspritzventil Zyl.6-N84 elektr.Fehler im Stromkreis
44CF	Einspritzventil Zyl.7-N85 elektr.Fehler im Stromkreis
44D0	Einspritzventil Zyl.8-N86 elektr.Fehler im Stromkreis
44D1	Einlasssperrventile fuer Zylinderabschaltung Kurzschluss nach Masse
44D2	Einlasssperrventile fuer Zylinderabschaltung Kurzschluss nach Plus
44D3	Einlasssperrventile fuer Zylinderabschaltung Unterbrechung
44D4	Zylinderabschaltung, Bank 1
44D5	Einspritzventil Zyl.1-N30 Kurzschluss nach Plus
44D6	Einspritzventil Zyl.2-N31 Kurzschluss nach Plus
44D7	Einspritzventil Zyl.3-N32 Kurzschluss nach Plus
44D8	Einspritzventil Zyl.4-N33 Kurzschluss nach Plus
44D9	Einspritzventil Zyl.5-N83 Kurzschluss nach Plus
44DA	Einspritzventil Zyl.6-N84 Kurzschluss nach Plus
44DB	Einspritzventil Zyl.7-N85 Kurzschluss nach Plus
44DC	Einspritzventil Zyl.8-N86 Kurzschluss nach Plus
44DD	Auslasssperrventile fuer Zylinderabschaltung Kurzschluss nach Masse
44DE	Auslasssperrventile fuer Zylinderabschaltung Kurzschluss nach Plus
44DF	Auslasssperrventile fuer Zylinderabschaltung Unterbrechung
44E0	Zylinderabschaltung, Bank 2
44E1	Einspritzventil Zyl.1-N30 Kurzschluss nach Masse
44E2	Einspritzventil Zyl.2-N31 Kurzschluss nach Masse
44E3	Einspritzventil Zyl.3-N32 Kurzschluss nach Masse
44E4	Einspritzventil Zyl.4-N33 Kurzschluss nach Masse
44E5	Einspritzventil Zyl.5-N83 Kurzschluss nach Masse
44E6	Einspritzventil Zyl.6-N84 Kurzschluss nach Masse
44E7	Einspritzventil Zyl.7-N85 Kurzschluss nach Masse
44E8	Einspritzventil Zyl.8-N86 Kurzschluss nach Masse
44E9	
44EA	
44EB	
44EC	
44ED	Einspritzventil Zyl.1-N30 Unterbrechung
44EE	Einspritzventil Zyl.2-N31 Unterbrechung
44EF	Einspritzventil Zyl.3-N32 Unterbrechung
44F0	Einspritzventil Zyl.4-N33 Unterbrechung
44F1	Einspritzventil Zyl.5-N83 Unterbrechung
44F2	Einspritzventil Zyl.6-N84 Unterbrechung
44F3	Einspritzventil Zyl.7-N85 Unterbrechung
44F4	Einspritzventil Zyl.8-N86 Unterbrechung
44F5	Geber fuer Nadelhub-G80 Kurzschluss nach Masse
44F6	Geber fuer Nadelhub-G80 unplausibles Signal
44F7	Geber fuer Nadelhub-G80 Unterbrechung/Kurzschluss nach Plus
44F8	Spritzbeginnregelung Regeldifferenz
44F9	Kraftstoffverbrauchssignal elektr. Fehler im Stromkreis
44FA	Kraftstoffuellstand zu gering
44FB	Ventil fuer Einspritzbeginn-N108 Kurzschluss nach Plus
44FC	Ventil fuer Einspritzbeginn-N108 Unterbrechung/Kurzschluss nach Masse
44FD	Kraftstoffverbrauchssignal Kurzschluss nach Masse
44FE	Kraftstoffverbrauchssignal Kurzschluss nach Plus
44FF	Geber fuer Kuehlmitteltemp.-G62 Kurzschluss nach Masse
4500	Geber fuer Kuehlmitteltemp.-G62 Unterbrechung/Kurzschluss nach Plus
4501	Ventil fuer Kuehlmittelkreislauf-N214 Unterbrechung
4502	Ventil fuer Kuehlmittelkreislauf-N214 Kurzschluss nach Plus
4503	Ventil fuer Kuehlmittelkreislauf-N214 Kurzschluss nach Masse
4504	Ventil fuer Pumpe/Duese Zylinder 1-N240 Unplausibles Signal
4505	Ventil fuer Pumpe/Duese Zylinder 1-N240 Regelgrenze ueberschritten
4506	Ventil fuer Pumpe/Duese Zylinder 1-N240 Regelgrenze unterschritten
4507	Ventil fuer Pumpe/Duese Zylinder 2-N241 Unplausibles Signal
4508	Ventil fuer Pumpe/Duese Zylinder 2-N241 Regelgrenze ueberschritten
4509	Ventil fuer Pumpe/Duese Zylinder 2-N241 Regelgrenze unterschritten
450A	Ventil fuer Pumpe/Duese Zylinder 3-N242 Unplausibles Signal
450B	Ventil fuer Pumpe/Duese Zylinder 3-N242 Regelgrenze ueberschritten
450C	Ventil fuer Pumpe/Duese Zylinder 3-N242 Regelgrenze unterschritten
450D	Ventil fuer Pumpe/Duese Zylinder 4-N243 Unplausibles Signal
450E	Ventil fuer Pumpe/Duese Zylinder 4-N243 Regelgrenze ueberschritten
450F	Ventil fuer Pumpe/Duese Zylinder 4-N243 Regelgrenze unterschritten
4510	Ventil fuer Pumpe/Duese Zylinder 5-N244 Unplausibles Signal
4511	Ventil fuer Pumpe/Duese Zylinder 5-N244 Regelgrenze ueberschritten
4512	Ventil fuer Pumpe/Duese Zylinder 5-N244 Regelgrenze unterschritten
4513	Ventil fuer Pumpe/Duese Zylinder 6-N245 Unplausibles Signal
4514	Ventil fuer Pumpe/Duese Zylinder 6-N245 Regelgrenze ueberschritten
4515	Ventil fuer Pumpe/Duese Zylinder 6-N245 Regelgrenze unterschritten
4516	Ventil fuer Kraftstoffdosierung-N290 Kurzschluss nach Plus
4517	Ventil fuer Kraftstoffdosierung-N290 Unterbrechung/Kurzschluss nach Masse
4518	Luftsteuerventil fuer Einspritzv.-N212 Durchsatz zu klein
4519	Ventil fuer Kraftstoffdosierung-N290 Kurzschluss nach Masse
451A	Ventil fuer Kraftstoffdosierung-N290 Unterbrechung
451B	Luftsteuerventil fuer Einspritzv.-N212 elektr.Fehler im Stromkreis
451C	Luftsteuerventil fuer Einspritzv.-N212 Unterbrechung
451D	Luftsteuerventil fuer Einspritzv.-N212 Kurzschluss nach Masse
451E	Luftsteuerventil fuer Einspritzv.-N212 Kurzschluss nach Plus
451F	Umluftventil fuer Turbolader -N249 Unterbrechung
4520	Umluftventil fuer Turbolader -N249 Kurzschluss nach Plus
4521	Umluftventil fuer Turbolader -N249 Kurzschluss nach Masse
4522	Geber fuer Kuehlmitteltemperatur-Kuehlerausgang-G83 Signal zu gross
4523	Geber fuer Kuehlmitteltemperatur-Kuehlerausgang-G83 Signal zu klein
4524	Thermostat fuer Kennfeldgesteuerte Motorkuehlung-F265        Unterbrechung
4525	Thermostat fuer Kennfeldgesteuerte Motorkuehlung-F265        Kurzschluss nach Plus
4526	Thermostat fuer Kennfeldgesteuerte Motorkuehlung-F265        Kurzschluss nach Masse
4527	Bypass Turbolader Durchsatz fehlerhaft
4528	Fehler im Kuehlsystem
4529	Verbindung Lader-Drosselklappe Druckabfall
452A	Geber fuer Kuehlmitteltemperatur-Kuehlerausgang-G83 Unplausibles Signal
452B	Ventil fuer Kraftstoffdosierung-N290 Fehlfunktion
452C	Verbrennungsaussetzer erkannt Grund: Kraftstoffmangel
452D	Klopfregelung Zyl.9 Regelgrenze erreicht
452E	Klopfregelung Zyl.10 Regelgrenze erreicht
452F	Klopfregelung Zyl.11 Regelgrenze erreicht
4530	Klopfregelung Zyl.12 Regelgrenze erreicht
4531	Zuendansteuerung Zyl. 9 Unterbrechung
4532	Zuendansteuerung Zyl. 9 Kurzschluss nach Plus
4533	Zuendansteuerung Zyl. 9 Kurzschluss nach Masse
4534	Zuendansteuerung Zyl. 10 Unterbrechung
4535	Zuendansteuerung Zyl. 10 Kurzschluss nach Plus
4536	Zuendansteuerung Zyl. 10 Kurzschluss nach Masse
4537	Zuendansteuerung Zyl. 11 Unterbrechung
4538	Zuendansteuerung Zyl. 11 Kurzschluss nach Plus
4539	Zuendansteuerung Zyl. 11 Kurzschluss nach Masse
453A	Zuendansteuerung Zyl. 12 Unterbrechung
453B	Zuendansteuerung Zyl. 12 Kurzschluss nach Plus
453C	Zuendansteuerung Zyl. 12 Kurzschluss nach Masse
453D	
453E	
453F	Klopfsensor 1-G61 Kurzschluss nach Masse
453F	Klopfsensor 1-G61Kurzschluss nach Masse
4540	Klopfsensor 2-G66Kurzschluss nach Masse
4541	Klopfsensor 3-G198Signal zu klein
4542	Klopfsensor 3-G198Signal zu gross
4543	Klopfsensor 4-G199Signal zu klein
4544	Klopfsensor 4-G199Signal zu gross
4545	Klopfregelung Zyl.1Regelgrenze erreicht
4546	Klopfregelung Zyl.2Regelgrenze erreicht
4547	Klopfregelung Zyl.3Regelgrenze erreicht
4548	Klopfregelung Zyl.4Regelgrenze erreicht
4549	Klopfregelung Zyl.5Regelgrenze erreicht
454A	Klopfregelung Zyl.6Regelgrenze erreicht
454B	Klopfregelung Zyl.7Regelgrenze erreicht
454C	Klopfregelung Zyl.8Regelgrenze erreicht
454D	
454E	
454F	Motormomentenueberwachung 2Regelgrenze ueberschritten
4550	Motormomentenueberwachung Regelgrenze ueberschritten
4551	Bank1,Nockenwellenpos.-sensor=>-G40Kurzschluss nach Masse
4552	Bank1,Nockenwellenpos.-sensor=>-G40Unterbrechung/Kurzschluss nach Plus
4553	Kurbelwellenpos.-/Motordrehzahlsensorvertauscht
4554	Nockenwellenpos.-/Kurbelwellenpos.-sensfalsche Zuordnung
4555	Zuendausgang 1Kurzschluss nach Masse
4556	Zuendausgang 1Kurzschluss nach Plus
4557	Zuendausgang 2Kurzschluss nach Masse
4558	Zuendausgang 2Kurzschluss nach Plus
4559	Zuendausgang 3Kurzschluss nach Masse
455A	Zuendausgang 3Kurzschluss nach Plus
455B	Bank 2, Nockenwellenpos.-/Kurbelwellenpos.-sens.falsche Zuordnung
455C	Zuendausgang 1Unterbrechung
455D	Zuendausgang 2Unterbrechung
455E	Zuendausgang 3Unterbrechung
455F	Bank1,Nockenwellenpos.-sensor=>-G40unplausibles Signal bei Start
4560	Bank1,NockenwellenverstellungSollposition nicht erreicht
4561	
4562	Geber fuer Regelschieberweg-G149elektr.Fehler im Stromkreis
4563	Zuendansteuerung Zyl. 1Unterbrechung
4564	Zuendansteuerung Zyl. 1Kurzschluss nach Plus
4565	Zuendansteuerung Zyl. 1Kurzschluss nach Masse
4566	Zuendansteuerung Zyl. 2Unterbrechung
4567	Zuendansteuerung Zyl. 2Kurzschluss nach Plus
4568	Zuendansteuerung Zyl. 2Kurzschluss nach Masse
4569	Zuendansteuerung Zyl. 3Unterbrechung
456A	Zuendansteuerung Zyl. 3Kurzschluss nach Plus
456B	Zuendansteuerung Zyl. 3Kurzschluss nach Masse
456C	Zuendansteuerung Zyl. 4Unterbrechung
456D	Zuendansteuerung Zyl. 4Kurzschluss nach Plus
456E	Zuendansteuerung Zyl. 4Kurzschluss nach Masse
456F	Zuendansteuerung Zyl. 5Unterbrechung
4570	Zuendansteuerung Zyl. 5Kurzschluss nach Plus
4571	Zuendansteuerung Zyl. 5Kurzschluss nach Masse
4572	Zuendansteuerung Zyl. 6Unterbrechung
4573	Zuendansteuerung Zyl. 6Kurzschluss nach Plus
4574	Zuendansteuerung Zyl. 6Kurzschluss nach Masse
4575	Zuendansteuerung Zyl. 7Unterbrechung
4576	Zuendansteuerung Zyl. 7Kurzschluss nach Plus
4577	Zuendansteuerung Zyl. 7Kurzschluss nach Masse
4578	Zuendansteuerung Zyl. 8Unterbrechung
4579	Zuendansteuerung Zyl. 8Kurzschluss nach Plus
457A	Zuendansteuerung Zyl. 8Kurzschluss nach Masse
457B	
457C	
457D	
457E	
457F	
4580	
4581	Steuergeraet defekt
4582	Steuergeraet defekt
4583	Steuergeraet defekt
4584	Steuergeraet defekt
4585	Steuergeraet 2 fuer Dieseldirekteinspritzanlage-J494defekt
4586	
4587	Bank2,Nockenwellenpos.-sensor=>-G163Kurzschluss nach Masse
4588	Bank2,Nockenwellenpos.-sensor=>-G163Unterbrechung/Kurzschluss nach Plus
4589	Zuendausgang 1elektr.Fehler im Stromkreis
458A	Zuendausgang 2elektr.Fehler im Stromkreis
458B	Zuendausgang 3elektr.Fehler im Stromkreis
458C	Geber fuer Motordrehzahl-G28fehlender Zahn
458D	Geberrad fuer MotordrehzahlAdaptionsgrenze erreicht
458E	Motordrehzahlsignal,TDKurzschluss nach Masse
458F	Motordrehzahlsignal,TDKurzschluss nach Plus externe Abgaskontrolleinrichtungen
4590	Ventil fuer Abgasrueckfuehrung-N18elektr.Fehler im Stromkreis
4591	Ventil fuer Abgasrueckfuehrung-N18Kurzschluss nach Masse
4592	Ventil fuer Abgasrueckfuehrung-N18Kurzschluss nach Plus
4593	AbgasrueckfuehrungssystemRegeldifferenz
4594	AbgasrueckfuehrungssystemGrundeinstellung nicht durchgefuehrt
4595	
4596	Temp.-Fuehler fuer Abgasrueckfuehrung-G98unplausibles Signal
4597	Temp.-Fuehler fuer Abgasrueckfuehrung-G98Signal zu klein
4598	Temp.-Fuehler fuer Abgasrueckfuehrung-G98Signal zu gross
4599	Tankentlueftungsventil-N80elektr.Fehler im Stromkreis
459A	Tankentlueftungsventil-N80Kurzschluss nach Plus
459B	Bank2,SekundaerluftsystemDurchsatz zu klein
459C	Drucksensor fuer AbgasrueckfuehrungSignal zu klein
459D	Drucksensor fuer AbgasrueckfuehrungSignal zu gross
459E	Bank2,SekundaerluftsystemLeck erkannt
459F	Ventil fuer Abgasrueckfuehrung-N18, Kennlinienadaptionunterer Grenzwert ueberschritten
45A0	Ventil fuer Abgasrueckfuehrung-N18, Kennlinienadaptionoberer Grenzwert ueberschritten
45A1	Geber fuer Kraftstoffvorrat-GSignal zu klein
45A2	Geber fuer Kraftstoffvorrat-GSignal zu gross
45A3	
45A4	Sekundaerlufteinblasventil-N112elektr.Fehler im Stromkreis
45A5	Sekundaerlufteinblasventil-N112Kurzschluss nach Masse
45A6	Sekundaerlufteinblasventil-N112Kurzschluss nach Plus
45A7	Bank1,SekundaerluftsystemDurchsatz zu klein
45A8	Bank1,SekundaerluftsystemLeck erkannt
45A9	Tankentlueftungsventil-N80Kurzschluss nach Masse
45AA	Tankentlueftungsventil-N80Unterbrechung
45AB	Ansteuerung Unterdruckpumpe fuer Bremse Kurzschluss nach Plus
45AC	Ansteuerung Unterdruckpumpe fuer Bremse Kurzschluss nach Masse
45AD	Ansteuerung Unterdruckpumpe fuer Bremse Unterbrechung
45AE	Ansteuerung Unterdruckpumpe fuer Bremse Unterbrechung/Kurzschluss nach Plus
45AF	Ansteuerung Unterdruckpumpe fuer Bremse Unterbrechung/Kurzschluss nach Masse
45B0	Sekundaerlufteinblasventil-N112Unterbrechung
45B1	Relais fuer Sekundaerluftpumpe -J299Unterbrechung
45B2	Relais fuer Sekundaerluftpumpe-J299Kurzschluss nach Plus
45B3	Relais fuer Sekundaerluftpumpe -J299Kurzschluss nach Masse
45B4	Relais fuer Sekundaerluftpumpe-J299elektr.Fehler im Stromkreis
45B5	Ventil 2 fuer Abgasrueckfuehrung-N213Kurzschluss nach Plus
45B6	Ventil 2 fuer Abgasrueckfuehrung-N213Unterbrechung/Kurzschluss nach Masse
45B7	Potentiometer fuer Abgasrueckfuehrung -G212Fehler in Grundeinstellung
45B8	Ventil fuer Abgasrueckfuehrung-N18Unterbrechung
45B9	Ventil fuer Abgasrueckfuehrung-N18Unterbrechung/Kurzschluss nach Masse
45BA	Potentiometer fuer Abgasrueckfuehrung -G212Signal zu gross
45BB	Potentiometer fuer Abgasrueckfuehrung -G212Signal zu klein
45BC	Potentiometer fuer Abgasrueckfuehrung -G212unplausibles Signal
45BD	Temp.-Fuehler 2 fuer Kat-G132unplausibles Signal
45BE	Temp.-Fuehler 1 fuer Kat-G20Kurzschluss nach Masse
45BF	Temp.-Fuehler 1 fuer Kat-G20Unterbrechung/Kurzschluss nach Plus
45C0	Temp.-Fuehler 2 fuer Kat-G132Kurzschluss nach Masse
45C1	Temp.-Fuehler 2 fuer Kat-G132Unterbrechung/Kurzschluss nach Plus
45C2	SekundaerluftsystemKurzschluss nach Plus
45C3	SekundaerluftsystemKurzschluss nach Masse
45C4	SekundaerluftsystemUnterbrechung
45C5	Geber 1 fuer Abgastemperatur -G235Unterbrechung/Kurzschluss nach Plus
45C6	Geber 1 fuer Abgastemperatur -G235Kurzschluss nach Masse
45C7	Geber 1 fuer Abgastemperatur -G235unplausibles Signal
45C8	Abgastemperaturregelung Bank 1Regelgrenze erreicht
45C9	Geber 2 fuer Abgastemperatur -G236Unterbrechung/Kurzschluss nach Plus
45CA	Geber 2 fuer Abgastemperatur -G236Kurzschluss nach Masse
45CB	Geber 2 fuer Abgastemperatur -G236unplausibles Signal
45CC	Abgastemperaturregelung Bank 2Regelgrenze erreicht
45CD	Abgastemperaturregelung Bank 1unplausibles Signal
45CE	Abgastemperaturregelung Bank 2unplausibles Signal
45CF	
45D0	
45D1	Dosierpumpe fuer Reinigungsmittel-V135Kurzschluss nach Plus
45D2	Dosierpumpe fuer Reinigungsmittel-V135Unterbrechung/Kurzschluss nach Masse
45D3	Magnetventil 2 fuer Aktivkohle -N115Kurzschluss nach Plus
45D4	Magnetventil 2 fuer Aktivkohle -N115Kurzschluss nach Masse
45D5	Magnetventil 2 fuer Aktivkohle -N115Unterbrechung
45D6	Leckdiagnosepumpe Tankentlueftungssystemelektr.Fehler im Stromkreis
45D7	Leckdiagnosepumpe TankentlueftungssystemKurzschluss nach Plus
45D8	Leckdiagnosepumpe TankentlueftungssystemKurzschluss nach Masse
45D9	Leckdiagnosepumpe TankentlueftungssystemUnterbrechung
45DA	Magnetventil 2 fuer Aktivkohle -N115elektr. Fehler im Stromkreis
45DB	Leckdiagnosepumpe TankentlueftungssystemFehlfunktion/kein Signal
45DC	Leckdiagnosepumpe TankentlueftungssystemFehlfunktion/Unterdruck zu gering
45DD	Leckdiagnosepumpe TankentlueftungssystemFehlfunktion
45DE	Leckdiagnosepumpe TankentlueftungssystemSchlauch ohne Durchgang erkannt
45DF	Unterdrucksystem Bremse mechanischer Fehler
45E0	Unterdruckpumpe fuer Bremse                                                            
45E1	Relais fuer Sekundaerluftpumpe 2 -J545 Unterbrechung
45E2	Relais fuer Sekundaerluftpumpe 2 -J545 Kurzschluss nach Plus
45E3	Relais fuer Sekundaerluftpumpe 2 -J545 Kurzschluss nach Masse
45E4	Relais fuer Sekundaerluftpumpe 2 -J545 elektr.Fehler im Stromkreis
45E5	Sekundaerlufteinblasventil 2 -N320 Unterbrechung
45E6	Sekundaerlufteinblasventil 2 -N320 elektr.Fehler im Stromkreis
45E7	Sekundaerlufteinblasventil 2 -N320 Kurzschluss nach Masse
45E8	Sekundaerlufteinblasventil 2 -N320 Kurzschluss nach Plus
45E9	Tankentlueftungsventil 2-N333 Kurzschluss nach Plus
45EA	Tankentlueftungsventil 2-N333Kurzschluss nach Masse
45EB	Tankentlueftungsventil 2-N333Unterbrechung
45EC	Tankentlueftungsventil 2-N333elektr.Fehler im Stromkreis
45ED	Unterdruckpumpe fuer Bremse Leistung zu gering 
45EE	
45EF	
45F0	
45F1	
45F2	
45F3	
45F4	Kraftstoffpumpenrelais-J17elektr.Fehler im Stromkreis
45F5	Kraftstoffpumpenrelais-J17Kurzschluss nach Masse
45F6	Kraftstoffpumpenrelais-J17Kurzschluss nach Plus
45F7	Belastungssignal von Generatorkl. DFunplausibles Signal
45F8	LuftansaugsystemLeck erkannt
45F9	Leerlaufschalter-F60schliesst nicht/Unterbrechung
45FA	Leerlaufschalter-F60oeffnet nicht/Kurzschluss nach Masse
45FB	Leerlaufsystem-Lernwertuntere Grenze erreicht
45FC	Leerlaufsystem-Lernwertobere Grenze erreicht
45FD	Ventil fuer Leerlaufstabilisierung-N71elektr.Fehler im Stromkreis
45FE	Ventil fuer Leerlaufstabilisierung-N71Kurzschluss nach Plus
45FF	Ventil Registersaugrohrumschaltung-N156elektr.Fehler im Stromkreis
4600	Ventil Registersaugrohrumschaltung-N156Kurzschluss nach Plus
4601	Ventil2 f.Registersaugrohrumschalt -N261Kurzschluss nach Plus
4602	Ventil2 f.Registersaugrohrumschalt.-N261Kurzschluss nach Masse
4603	Ventil fuer Registersaugrohrumschaltung-N156Kurzschluss nach Masse
4604	Ventil fuer Registersaugrohrumschaltung-N156Unterbrechung
4605	Hauptrelais=>-J271elektr.Fehler im Stromkreis
4606	Hauptrelais=>-J271Kurzschluss nach Plus
4607	Bank1,NockenwellenverstellungFehlfunktion
4608	Ventil2 f.Registersaugrohrumschalt.-N261Unterbrechung
4609	Ventil2 f.Registersaugrohrumschalt.-N261elektr. Fehler im Stromkreis
460A	Bank2,NockenwellenverstellungFehlfunktion
460B	Crash-Signal vom Airbag-SGunplausibles Signal
460C	Kraftstoffpumpenrelais-J17Unterbrechung/Kurzschluss nach Masse
460D	Bank1,Nockenwellenverstellung=>-N205elektr.Fehler im Stromkreis
460E	Bank1,Nockenwellenverstellung=>-N205Kurzschluss nach Plus
